Datum,Glob_sevanje_mean,Hitrost_vetra_mean,Sunki_vetra_max,Padavine_sum,Vlaga_mean,Temperatura_Krvavec_mean,Temperatura_lokacija_mean,PM10,PM_vceraj,sinD,cosD
2013-01-02,0.125,0.675,2.9,0,79.175,-2.9875,3.2,44.3,51.4,0.034899496702501,0.999390827019096
2013-01-03,0.375,0.7375,2.6,0,93.5625,-4.525,2.875,49,44.3,0.052335956242944,0.998629534754574
2013-01-04,0.875,0.8875,3.2,0,93.3,2.9625,0.6875,61.3,49,0.069756473744125,0.997564050259824
2013-01-05,0.75,1,4.5,0,94.2625,2.9875,0.5875,38.9,61.3,0.087155742747658,0.996194698091746
2013-01-06,0.25,0.575,2.3,0,87.65,-0.25,3.1625,30.3,38.9,0.104528463267653,0.994521895368273
2013-01-07,0.25,0.675,2.8,0,96.3,-0.025,0.6125,26.8,30.3,0.121869343405147,0.992546151641322
2013-01-08,0.25,0.675,2.3,0,76.25,-3.4125,1.225,28.5,26.8,0.139173100960065,0.99026806874157
2013-01-09,0.875,0.7375,2.4,0,83.475,1.35,2.0625,67.6,28.5,0.156434465040231,0.987688340595138
2013-01-10,0.25,1.2625,4.2,0.6,87.4125,-3.475,5.3875,32.9,67.6,0.17364817766693,0.984807753012208
2013-01-11,0.375,0.7875,2.9,0,95.4875,-4.1,0.075,43.4,32.9,0.190808995376545,0.981627183447664
2013-01-12,0.5,1.925,5.4,0,68.825,-8.35,0.55,23,43.4,0.207911690817759,0.978147600733806
2013-01-13,0.125,0.7875,2.6,0.9,72.75,-5.75,0.5375,31.6,23,0.224951054343865,0.974370064785235
2013-01-14,0,0.675,2.5,13.9,92.6,-7.1625,-1.6625,29.7,31.6,0.241921895599668,0.970295726275996
2013-01-15,0.225,0.5875,1.8,0,91.2125,-4.7625,-0.9875,42.7,29.7,0.258819045102521,0.965925826289068
2013-01-16,0.2125,0.7375,2.5,1.2,92.525,-5.775,-0.05,25.4,42.7,0.275637355816999,0.961261695938319
2013-01-17,0,0.625,2.3,4.4,92.1875,-7.3625,-0.5,25.1,25.4,0.292371704722737,0.956304755963035
2013-01-18,0.125,1.525,4.1,0,86.325,-8.0875,-0.5125,24.4,25.1,0.309016994374947,0.951056516295154
2013-01-19,0.625,1.6875,3.8,0,90.3875,-7.9125,-1.9125,47.1,24.4,0.325568154457157,0.945518575599317
2013-01-20,0.25,0.6625,3.4,2.7,94.2375,-2.2125,1.1875,37.2,47.1,0.342020143325669,0.939692620785908
